,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1960,1030256390.0,660645650.0,219907801.0,105203269.0,198624409.0,572839523.0,227233223.0
1961,1033472284.0,668307981.0,225993884.0,108061812.0,202007500.0,584939726.0,232567038.0
1962,1047566333.0,676225730.0,232265533.0,111045434.0,205198600.0,597494449.0,238121698.0
1963,1072954212.0,684214639.0,238696012.0,114101592.0,208253700.0,610498327.0,243893426.0
1964,1097972842.0,692136133.0,245233432.0,117271166.0,211262900.0,623943332.0,249873743.0
1965,1124041729.0,699832086.0,251850859.0,120541214.0,214031100.0,637823175.0,256059811.0
1966,1153532209.0,706554321.0,258538106.0,123908159.0,216659000.0,652144182.0,262454422.0
1967,1182060557.0,713099928.0,265295652.0,127444958.0,219176000.0,666908582.0,269072224.0
1968,1210983884.0,719392440.0,272128513.0,131026912.0,221503000.0,682102178.0,275937224.0
1969,1243401022.0,725549115.0,279037414.0,134704201.0,223759000.0,697706104.0,283080084.0
1970,1275813452.0,731151474.0,286027166.0,138473064.0,226431000.0,713711349.0,290526189.0
1971,1309172006.0,736734729.0,293097388.0,142307879.0,229677632.0,730107637.0,298284068.0
1972,1340715118.0,742846411.0,300238819.0,146213388.0,232168663.0,746911716.0,306359274.0
1973,1370684198.0,748792707.0,307462534.0,150292291.0,234454577.0,764174958.0,314761167.0
1974,1400473191.0,754533778.0,314773956.0,154509812.0,236715369.0,781966565.0,323500188.0
1975,1427284700.0,760101967.0,322176757.0,158917328.0,239169275.0,800335563.0,332583486.0
1976,1451168566.0,765561173.0,329667217.0,163532323.0,241538008.0,819292545.0,342018831.0
1977,1473719245.0,770815497.0,337240049.0,168361100.0,244018243.0,838819925.0,351808670.0
1978,1496185850.0,776013523.0,344913615.0,173447058.0,246601803.0,858901731.0,361939361.0
1979,1519063049.0,781240897.0,352693991.0,178866341.0,249310344.0,879510848.0,372404185.0
1980,1541490818.0,786640749.0,360591861.0,184628605.0,251795337.0,900620572.0,383188232.0
1981,1564760463.0,791891289.0,368601995.0,190731422.0,254340965.0,922226636.0,394281956.0
1982,1590324404.0,796623632.0,376714428.0,197157159.0,256836391.0,944315187.0,405688903.0
1983,1615887297.0,801152566.0,384896426.0,203834190.0,259214381.0,966836452.0,417425681.0
1984,1640201861.0,805884068.0,393106351.0,210648811.0,261488476.0,989728215.0,429521938.0
1985,1665103769.0,810718369.0,401311796.0,217572788.0,263823014.0,1012942302.0,441988010.0
1986,1691578623.0,815664868.0,409496610.0,224549844.0,266290660.0,1036437892.0,454835629.0
1987,1719454796.0,820661836.0,417659736.0,231570113.0,268793450.0,1060208539.0,468053168.0
1988,1747590318.0,825701189.0,425800798.0,238565130.0,271349094.0,1084281155.0,481594292.0
1989,1775103891.0,830581533.0,433925886.0,245453259.0,274154622.0,1108702403.0,495407391.0
1990,1801914615.0,842570541.0,442040696.0,254215138.0,277373464.0,1133495196.0,509451851.0
1991,1827718875.0,846356322.0,450125305.0,261046309.0,281077441.0,1158655617.0,523726913.0
1992,1851795390.0,849757442.0,458175526.0,265656619.0,284943859.0,1184133314.0,538246469.0
1993,1875023701.0,852712876.0,466199679.0,272107828.0,288662674.0,1209847786.0,553020362.0
1994,1898282441.0,854685450.0,474193423.0,278384965.0,292185983.0,1235693869.0,568072008.0
1995,1921173418.0,856212881.0,482150647.0,286096964.0,295640057.0,1261587756.0,583413261.0
1996,1943722425.0,857577538.0,490080681.0,292041181.0,299064347.0,1287476190.0,599067779.0
1997,1965715411.0,858882872.0,497957410.0,297891731.0,302623445.0,1313346377.0,615054371.0
1998,1986871717.0,860015493.0,505774348.0,303641740.0,306070116.0,1339202708.0,631400656.0
1999,2006642383.0,861035457.0,513442848.0,309436741.0,309502571.0,1365067928.0,648148316.0
2000,2025467590.0,861993393.0,520964431.0,315326801.0,312909974.0,1390946064.0,665327581.0
2001,2043572540.0,863083216.0,528336554.0,321297208.0,316052361.0,1416822959.0,682956070.0
2002,2060728624.0,864648977.0,535570691.0,327362252.0,319048184.0,1442644058.0,701066167.0
2003,2077048186.0,866925884.0,542684680.0,333608779.0,321815286.0,1468324422.0,719716209.0
2004,2092818366.0,869516666.0,549705414.0,340143481.0,324809693.0,1493757846.0,738983255.0
2005,2108424273.0,872163396.0,556652026.0,347029874.0,327824506.0,1518861552.0,758924681.0
2006,2123929439.0,874862170.0,563521369.0,354302463.0,331015609.0,1543610696.0,779566820.0
2007,2138883676.0,878004122.0,570314774.0,361929136.0,334185120.0,1568003159.0,800908534.0
2008,2154124880.0,881531261.0,577050884.0,369823252.0,337406357.0,1592010819.0,822945457.0
2009,2168990070.0,885170595.0,583746102.0,377883993.0,340466060.0,1615610198.0,845655214.0
2010,2183746243.0,888627318.0,590303295.0,385917886.0,343396098.0,1638792934.0,869025106.0
2011,2198492633.0,890862941.0,596966199.0,393944527.0,345983901.0,1661534412.0,893046172.0
2012,2213557306.0,894486795.0,603586217.0,401974219.0,348653238.0,1683747130.0,914476874.0
2013,2228702764.0,898766094.0,610151927.0,409977874.0,351205682.0,1705772050.0,939759620.0
2014,2244090263.0,903129978.0,616619613.0,417932242.0,353888995.0,1727640967.0,965648338.0
2015,2259394269.0,907498192.0,622986033.0,425821770.0,356510820.0,1749417068.0,992115660.0
2016,2275005684.0,911812364.0,629240066.0,433597626.0,359245384.0,1771167194.0,1019149983.0
2017,2290649533.0,915420161.0,635372515.0,441255234.0,361751263.0,1792835608.0,1046740781.0
2018,2304646596.0,918793590.0,641357515.0,448912859.0,364290258.0,1814388744.0,1074853734.0
